engine,dataset_size,workload,observations,unique_queries_per_repetition,repetitions,median_latency_ms_pooled,p95_latency_ms_pooled,mean_latency_ms_pooled,mean_recall10_pooled,min_returned,rep1_median_ms,rep2_median_ms,rep3_median_ms,median_of_rep_medians_ms,stdev_rep_medians_ms,rep1_p95_ms,rep2_p95_ms,rep3_p95_ms,rep1_mean_recall10,rep2_mean_recall10,rep3_mean_recall10
pg-hnsw,100000,w1,2700,900,3,2.0234164999999997,4.263685749999997,2.278593357037037,0.9567777777777778,10,2.1644995,1.9611874999999999,1.9735624999999999,1.9735624999999999,0.11397795688787075,4.076102099999999,4.372345799999996,4.264900299999999,0.9567777777777778,0.9567777777777778,0.956777777777778
pg-hnsw,100000,w2_50,2700,900,3,2.06625,3.4264999999999994,2.201066317037037,0.9475555555555554,10,2.2220630000000003,1.9685000000000001,2.004854,2.004854,0.13711039224289326,3.18535385,3.8567916999999983,3.4927357499999996,0.9475555555555556,0.9475555555555555,0.9475555555555556
pg-hnsw,100000,w2_10,2700,900,3,25.641917,28.123837199999993,25.80573898703704,1.0,10,25.853333,25.587542,25.449582999999997,25.587542,0.20522004607331554,28.3154184,28.25204135,27.7068604,1.0,1.0,1.0
pg-hnsw,100000,w2_1,2700,900,3,2.5120215000000004,4.8772034999999985,2.764387068148148,1.0,10,2.5216455,2.491667,2.5211875,2.5211875,0.01717740835370684,5.337841999999997,3.9014395999999993,5.06899855,1.0,1.0,1.0
pg-hnsw,100000,w2_0_1,2700,900,3,0.564562,1.6334982499999968,0.7105120359259259,1.0,10,0.571188,0.5492919999999999,0.574396,0.571188,0.013662216120869096,1.550185749999999,2.834867,1.2059791499999992,1.0,1.0,1.0
pg-hnsw,100000,w3,2700,900,3,19.863812000000003,22.73766315,20.176143561851852,1.0,10,19.937770999999998,19.9070205,19.751396,19.9070205,0.09991681446374918,22.944189549999997,22.867188149999997,22.434549999999998,1.0,1.0,1.0
pg-hnsw,100000,w4_acl,2700,900,3,2.5035415,4.910362499999995,2.763247191851852,1.0,10,2.4897915,2.5562505,2.4782915,2.4897915,0.04208454657393056,4.0601479,5.457033649999999,4.643910749999997,1.0,1.0,1.0
pg-diskann,100000,w1,2700,900,3,6.499125,9.041152399999996,6.700163202962963,0.9752222222222222,10,6.7307915000000005,6.341125,6.4245625,6.4245625,0.20517390918823825,9.28732855,9.00502085,8.976441699999999,0.9752222222222223,0.9752222222222223,0.9752222222222223
pg-diskann,100000,w2_50,2700,900,3,6.228896,8.85712645,6.46104066,0.9731111111111113,10,6.2346455,6.191000000000001,6.247354,6.2346455,0.029558441993503333,8.8028122,9.05729935,8.7657128,0.973111111111111,0.9731111111111111,0.9731111111111111
pg-diskann,100000,w2_10,2700,900,3,6.361271,9.1239923,6.6472047740740745,0.9465555555555555,10,6.3216455,6.3467085,6.4714585,6.3467085,0.08024405630948618,8.8748458,8.922145849999996,9.407472250000001,0.9465555555555557,0.9465555555555557,0.9465555555555557
pg-diskann,100000,w2_1,2700,900,3,2.6720625,5.086692299999999,2.9503637874074076,1.0,10,2.903021,2.5154370000000004,2.604125,2.604125,0.20307048744052705,5.434233649999999,3.98074645,5.381741649999999,1.0,1.0,1.0
pg-diskann,100000,w2_0_1,2700,900,3,0.589,1.5730062499999993,0.7320735681481482,1.0,10,0.5947914999999999,0.5840205,0.590271,0.590271,0.005408605974124257,1.4423978999999991,1.9774294999999988,1.6513398999999966,1.0,1.0,1.0
pg-diskann,100000,w3,2700,900,3,22.287582999999998,24.914496149999994,22.541945274444444,1.0,10,22.2873125,22.225229,22.3834165,22.2873125,0.07970113439646492,24.71001935,24.6750973,25.55939965,1.0,1.0,1.0
pg-diskann,100000,w4_acl,2700,900,3,2.47925,4.9029687499999905,2.7545854740740743,1.0,10,2.434125,2.5069369999999997,2.4795835,2.4795835,0.03677924353150831,4.817352399999999,4.866264599999999,5.010100349999999,1.0,1.0,1.0
qdrant,100000,w1,2700,900,3,6.243688,13.354781849999993,7.40010216962963,0.9682222222222222,10,6.1719795,6.1633955,6.537521,6.1719795,0.2135666028153356,12.724099399999998,12.633108,14.303258649999993,0.9682222222222222,0.9682222222222223,0.9682222222222223
qdrant,100000,w2_50,2700,900,3,6.481332999999999,9.123493399999996,6.79714396851852,0.9623333333333334,10,6.4613545000000006,6.488375,6.503937499999999,6.488375,0.0215468896266562,9.411903849999998,10.135725599999986,8.331464899999995,0.9623333333333334,0.9623333333333334,0.9623333333333334
qdrant,100000,w2_10,2700,900,3,8.586479,11.337682999999998,8.580986795925925,0.998111111111111,10,8.584646,8.564354000000002,8.613042,8.584646,0.024456149274432005,11.181912199999998,11.519369099999999,11.33286665,0.9981111111111111,0.9981111111111111,0.9981111111111111
qdrant,100000,w2_1,2700,900,3,7.3717915000000005,11.768798249999996,7.435608592592592,1.0,10,7.213125,7.531853999999999,7.348687,7.348687,0.1599559216232185,11.71663815,12.244814599999998,11.504983649999998,1.0,1.0,1.0
qdrant,100000,w2_0_1,2700,900,3,6.832,11.72674104999999,7.131485016296296,1.0,10,6.6170625,6.9953959999999995,6.8603335,6.8603335,0.19172849534758746,11.068323199999995,12.826048249999998,11.490291349999996,1.0,1.0,1.0
qdrant,100000,w3,2700,900,3,8.0347705,10.223093149999999,8.18215886,0.9998888888888888,10,8.0468335,8.027270999999999,8.032458,8.032458,0.010134523303211726,10.239511049999997,10.06167465,10.307035099999995,0.9998888888888888,0.9998888888888888,0.9998888888888888
