engine,dataset_size,repetition,workload,query_rank,latency_ms,recall10,returned_count,candidate_count,execution_path
pg-diskann,100000,1,w1,550,8.332,1.0,10,,diskann
pg-diskann,100000,1,w1,729,8.689042,1.0,10,,diskann
pg-diskann,100000,1,w1,743,7.130209,1.0,10,,diskann
pg-diskann,100000,1,w1,274,8.511542,1.0,10,,diskann
pg-diskann,100000,1,w1,570,8.012416,1.0,10,,diskann
pg-diskann,100000,1,w1,245,8.399542,1.0,10,,diskann
pg-diskann,100000,1,w1,293,7.391542,1.0,10,,diskann
pg-diskann,100000,1,w1,666,6.564084,1.0,10,,diskann
pg-diskann,100000,1,w1,665,6.515875,1.0,10,,diskann
pg-diskann,100000,1,w1,945,11.075584,0.7,10,,diskann
pg-diskann,100000,1,w1,495,6.984125,1.0,10,,diskann
pg-diskann,100000,1,w1,394,7.857958,0.8,10,,diskann
pg-diskann,100000,1,w1,243,5.998458,1.0,10,,diskann
pg-diskann,100000,1,w1,255,5.04075,0.8,10,,diskann
pg-diskann,100000,1,w1,726,8.054084,1.0,10,,diskann
pg-diskann,100000,1,w1,189,5.611,1.0,10,,diskann
pg-diskann,100000,1,w1,151,6.6855,1.0,10,,diskann
pg-diskann,100000,1,w1,192,8.024833,1.0,10,,diskann
pg-diskann,100000,1,w1,161,6.221125,1.0,10,,diskann
pg-diskann,100000,1,w1,833,6.994042,1.0,10,,diskann
pg-diskann,100000,1,w1,673,8.356708,0.9,10,,diskann
pg-diskann,100000,1,w1,507,8.811166,1.0,10,,diskann
pg-diskann,100000,1,w1,129,8.808875,0.8,10,,diskann
pg-diskann,100000,1,w1,238,7.439167,1.0,10,,diskann
pg-diskann,100000,1,w1,260,7.750708,1.0,10,,diskann
pg-diskann,100000,1,w1,212,10.167125,1.0,10,,diskann
pg-diskann,100000,1,w1,208,6.642958,1.0,10,,diskann
pg-diskann,100000,1,w1,536,7.866958,1.0,10,,diskann
pg-diskann,100000,1,w1,508,5.685584,1.0,10,,diskann
pg-diskann,100000,1,w1,138,5.504167,0.9,10,,diskann
pg-diskann,100000,1,w1,442,7.759291,0.9,10,,diskann
pg-diskann,100000,1,w1,359,7.418875,1.0,10,,diskann
pg-diskann,100000,1,w1,955,7.485083,1.0,10,,diskann
pg-diskann,100000,1,w1,494,8.005625,1.0,10,,diskann
pg-diskann,100000,1,w1,763,10.678041,0.8,10,,diskann
pg-diskann,100000,1,w1,520,6.747459,1.0,10,,diskann
pg-diskann,100000,1,w1,418,8.747,1.0,10,,diskann
pg-diskann,100000,1,w1,661,5.849417,1.0,10,,diskann
pg-diskann,100000,1,w1,229,6.277958,1.0,10,,diskann
pg-diskann,100000,1,w1,231,6.055541,1.0,10,,diskann
pg-diskann,100000,1,w1,195,6.31775,1.0,10,,diskann
pg-diskann,100000,1,w1,896,12.361833,0.9,10,,diskann
pg-diskann,100000,1,w1,391,6.753917,0.8,10,,diskann
pg-diskann,100000,1,w1,113,7.158042,1.0,10,,diskann
pg-diskann,100000,1,w1,276,8.52375,0.9,10,,diskann
pg-diskann,100000,1,w1,935,8.01425,1.0,10,,diskann
pg-diskann,100000,1,w1,701,8.55875,1.0,10,,diskann
pg-diskann,100000,1,w1,723,7.794875,1.0,10,,diskann
pg-diskann,100000,1,w1,683,6.386583,1.0,10,,diskann
pg-diskann,100000,1,w1,560,7.582917,1.0,10,,diskann
pg-diskann,100000,1,w1,700,8.63075,1.0,10,,diskann
pg-diskann,100000,1,w1,716,4.714833,1.0,10,,diskann
pg-diskann,100000,1,w1,912,8.1645,1.0,10,,diskann
pg-diskann,100000,1,w1,258,6.465083,1.0,10,,diskann
pg-diskann,100000,1,w1,173,6.647083,1.0,10,,diskann
pg-diskann,100000,1,w1,638,7.402083,1.0,10,,diskann
pg-diskann,100000,1,w1,335,7.420083,1.0,10,,diskann
pg-diskann,100000,1,w1,503,5.811584,1.0,10,,diskann
pg-diskann,100000,1,w1,813,7.150958,1.0,10,,diskann
pg-diskann,100000,1,w1,406,8.060084,1.0,10,,diskann
pg-diskann,100000,1,w1,242,8.039167,1.0,10,,diskann
pg-diskann,100000,1,w1,137,8.121666,1.0,10,,diskann
pg-diskann,100000,1,w1,446,6.61775,1.0,10,,diskann
pg-diskann,100000,1,w1,947,6.996459,1.0,10,,diskann
pg-diskann,100000,1,w1,506,8.627417,1.0,10,,diskann
pg-diskann,100000,1,w1,228,5.438709,1.0,10,,diskann
pg-diskann,100000,1,w1,342,8.22425,0.9,10,,diskann
pg-diskann,100000,1,w1,939,8.023958,1.0,10,,diskann
pg-diskann,100000,1,w1,705,5.296583,1.0,10,,diskann
pg-diskann,100000,1,w1,651,6.650125,1.0,10,,diskann
pg-diskann,100000,1,w1,944,8.440042,0.9,10,,diskann
pg-diskann,100000,1,w1,745,8.121208,1.0,10,,diskann
pg-diskann,100000,1,w1,422,6.770875,1.0,10,,diskann
pg-diskann,100000,1,w1,443,9.972958,0.9,10,,diskann
pg-diskann,100000,1,w1,923,5.554417,0.9,10,,diskann
pg-diskann,100000,1,w1,322,5.725375,1.0,10,,diskann
pg-diskann,100000,1,w1,569,6.201625,1.0,10,,diskann
pg-diskann,100000,1,w1,878,6.204542,1.0,10,,diskann
pg-diskann,100000,1,w1,882,8.594167,1.0,10,,diskann
pg-diskann,100000,1,w1,437,8.5315,1.0,10,,diskann
pg-diskann,100000,1,w1,510,8.667708,1.0,10,,diskann
pg-diskann,100000,1,w1,801,7.114792,1.0,10,,diskann
