engine,dataset_size,repetition,workload,query_rank,latency_ms,recall10,returned_count,candidate_count,execution_path
pg-hnsw,100000,2,w1,633,2.031958,1.0,10,,hnsw
pg-hnsw,100000,2,w1,986,1.733208,1.0,10,,hnsw
pg-hnsw,100000,2,w1,746,3.907083,1.0,10,,hnsw
pg-hnsw,100000,2,w1,221,1.92275,1.0,10,,hnsw
pg-hnsw,100000,2,w1,328,2.75325,1.0,10,,hnsw
pg-hnsw,100000,2,w1,944,2.206458,0.6,10,,hnsw
pg-hnsw,100000,2,w1,731,1.595708,1.0,10,,hnsw
pg-hnsw,100000,2,w1,464,2.234583,0.9,10,,hnsw
pg-hnsw,100000,2,w1,218,2.026917,1.0,10,,hnsw
pg-hnsw,100000,2,w1,165,7.136625,1.0,10,,hnsw
pg-hnsw,100000,2,w1,795,1.541833,1.0,10,,hnsw
pg-hnsw,100000,2,w1,895,1.833958,1.0,10,,hnsw
pg-hnsw,100000,2,w1,533,1.462792,1.0,10,,hnsw
pg-hnsw,100000,2,w1,463,1.446709,1.0,10,,hnsw
pg-hnsw,100000,2,w1,180,5.257,1.0,10,,hnsw
pg-hnsw,100000,2,w1,470,1.683208,1.0,10,,hnsw
pg-hnsw,100000,2,w1,709,1.668125,1.0,10,,hnsw
pg-hnsw,100000,2,w1,551,1.949459,1.0,10,,hnsw
pg-hnsw,100000,2,w1,884,2.118209,1.0,10,,hnsw
pg-hnsw,100000,2,w1,240,2.045958,1.0,10,,hnsw
pg-hnsw,100000,2,w1,449,1.573625,1.0,10,,hnsw
pg-hnsw,100000,2,w1,400,2.211959,1.0,10,,hnsw
pg-hnsw,100000,2,w1,759,4.158291,1.0,10,,hnsw
pg-hnsw,100000,2,w1,734,2.161291,0.9,10,,hnsw
pg-hnsw,100000,2,w1,544,1.809542,1.0,10,,hnsw
pg-hnsw,100000,2,w1,366,4.038,0.7,10,,hnsw
pg-hnsw,100000,2,w1,503,1.757209,1.0,10,,hnsw
pg-hnsw,100000,2,w1,390,1.791541,1.0,10,,hnsw
pg-hnsw,100000,2,w1,816,4.155709,1.0,10,,hnsw
pg-hnsw,100000,2,w1,645,2.327084,1.0,10,,hnsw
pg-hnsw,100000,2,w1,266,1.787416,1.0,10,,hnsw
pg-hnsw,100000,2,w1,547,4.780166,1.0,10,,hnsw
pg-hnsw,100000,2,w1,972,2.400292,1.0,10,,hnsw
pg-hnsw,100000,2,w1,755,1.970083,1.0,10,,hnsw
pg-hnsw,100000,2,w1,321,4.248,1.0,10,,hnsw
pg-hnsw,100000,2,w1,227,2.509292,1.0,10,,hnsw
pg-hnsw,100000,2,w1,954,1.982167,1.0,10,,hnsw
pg-hnsw,100000,2,w1,386,4.786041,0.9,10,,hnsw
pg-hnsw,100000,2,w1,670,1.821708,1.0,10,,hnsw
pg-hnsw,100000,2,w1,476,2.166625,1.0,10,,hnsw
pg-hnsw,100000,2,w1,316,3.015625,1.0,10,,hnsw
pg-hnsw,100000,2,w1,987,1.467792,1.0,10,,hnsw
pg-hnsw,100000,2,w1,362,1.695417,1.0,10,,hnsw
pg-hnsw,100000,2,w1,237,1.956459,1.0,10,,hnsw
pg-hnsw,100000,2,w1,894,3.377708,1.0,10,,hnsw
pg-hnsw,100000,2,w1,367,1.919125,1.0,10,,hnsw
pg-hnsw,100000,2,w1,671,2.32325,0.9,10,,hnsw
pg-hnsw,100000,2,w1,800,3.473958,1.0,10,,hnsw
pg-hnsw,100000,2,w1,867,1.998875,0.9,10,,hnsw
pg-hnsw,100000,2,w1,611,1.375,1.0,10,,hnsw
pg-hnsw,100000,2,w1,158,1.658583,1.0,10,,hnsw
pg-hnsw,100000,2,w1,823,3.483125,1.0,10,,hnsw
pg-hnsw,100000,2,w1,715,1.399792,1.0,10,,hnsw
pg-hnsw,100000,2,w1,819,2.204542,1.0,10,,hnsw
pg-hnsw,100000,2,w1,985,4.36825,1.0,10,,hnsw
pg-hnsw,100000,2,w1,236,2.86925,0.9,10,,hnsw
pg-hnsw,100000,2,w1,382,1.9475,1.0,10,,hnsw
pg-hnsw,100000,2,w1,705,2.918459,1.0,10,,hnsw
pg-hnsw,100000,2,w1,901,2.562584,0.8,10,,hnsw
pg-hnsw,100000,2,w1,907,2.286166,1.0,10,,hnsw
