engine,dataset_size,workload,observations,median_latency_ms_pooled,p95_latency_ms_pooled,mean_recall10_pooled,min_returned
pg-hnsw,100000,w1,2700,2.0234164999999997,4.263685749999997,0.9567777777777778,10
pg-hnsw,100000,w2_50,2700,2.06625,3.4264999999999994,0.9475555555555554,10
pg-hnsw,100000,w2_10,2700,25.641917,28.123837199999993,1.0,10
pg-hnsw,100000,w2_1,2700,2.5120215000000004,4.8772034999999985,1.0,10
pg-hnsw,100000,w2_0_1,2700,0.564562,1.6334982499999968,1.0,10
pg-hnsw,100000,w3,2700,19.863812000000003,22.73766315,1.0,10
pg-hnsw,100000,w4_acl,2700,2.5035415,4.910362499999995,1.0,10
pg-diskann,100000,w1,2700,6.499125,9.041152399999996,0.9752222222222222,10
pg-diskann,100000,w2_50,2700,6.228896,8.85712645,0.9731111111111113,10
pg-diskann,100000,w2_10,2700,6.361271,9.1239923,0.9465555555555555,10
pg-diskann,100000,w2_1,2700,2.6720625,5.086692299999999,1.0,10
pg-diskann,100000,w2_0_1,2700,0.589,1.5730062499999993,1.0,10
pg-diskann,100000,w3,2700,22.287582999999998,24.914496149999994,1.0,10
pg-diskann,100000,w4_acl,2700,2.47925,4.9029687499999905,1.0,10
qdrant,100000,w1,2700,6.243688,13.354781849999993,0.9682222222222222,10
qdrant,100000,w2_50,2700,6.481332999999999,9.123493399999996,0.9623333333333334,10
qdrant,100000,w2_10,2700,8.586479,11.337682999999998,0.998111111111111,10
qdrant,100000,w2_1,2700,7.3717915000000005,11.768798249999996,1.0,10
qdrant,100000,w2_0_1,2700,6.832,11.72674104999999,1.0,10
qdrant,100000,w3,2700,8.0347705,10.223093149999999,0.9998888888888888,10
qdrant,100000,w4_acl,2700,11.529187499999999,18.661247899999996,1.0,10
pg-hnsw,250000,w1,2700,2.440375,5.081741649999999,0.9504444444444445,10
pg-hnsw,250000,w2_50,2700,209.33697949999998,216.1732006,1.0,10
pg-hnsw,250000,w2_10,2700,62.566978500000005,66.22940064999999,1.0,10
pg-hnsw,250000,w2_1,2700,6.0173755,9.020642299999999,1.0,10
pg-hnsw,250000,w2_0_1,2700,0.9699169999999999,1.8544264499999972,1.0,10
pg-hnsw,250000,w3,2700,61.384146,65.58184164999999,1.0,10
pg-hnsw,250000,w4_acl,2700,5.812979,9.049617299999996,1.0,10
pg-diskann,250000,w1,2700,7.911167,10.483288949999997,0.9742222222222222,10
pg-diskann,250000,w2_50,2700,7.8160625,10.116616049999996,0.965111111111111,10
pg-diskann,250000,w2_10,2700,11.8502915,15.56277675,0.947888888888889,10
pg-diskann,250000,w2_1,2700,6.480916499999999,9.497985699999996,1.0,10
pg-diskann,250000,w2_0_1,2700,1.0594165,2.776341049999993,1.0,10
pg-diskann,250000,w3,2700,20.5079165,25.5579878,0.9666666666666667,10
pg-diskann,250000,w4_acl,2700,5.906333500000001,8.698289599999994,1.0,10
qdrant,250000,w1,2700,7.3549785,11.875512799999987,0.9775555555555556,10
qdrant,250000,w2_50,2700,7.0395205,11.366393449999997,0.9476666666666668,10
qdrant,250000,w2_10,2700,6.6710625,11.433316349999997,0.9814444444444445,10
qdrant,250000,w2_1,2700,6.758062499999999,11.142349349999998,1.0,10
qdrant,250000,w2_0_1,2700,5.7805835,9.75440355,1.0,10
qdrant,250000,w3,2700,8.7980835,13.569760699999994,0.9632222222222222,10
qdrant,250000,w4_acl,2700,10.788541500000001,16.27068335,1.0,10
