ef_search,engine,mean_recall10,median_latency_ms_tuning_only,p95_latency_ms_tuning_only,queries
40,pg-hnsw,0.9370000000000002,3.0945205,6.345643149999998,100
60,pg-hnsw,0.955,2.1886455,3.09916395,100
80,pg-hnsw,0.966,2.226375,3.12460865,100
100,pg-hnsw,0.972,2.980229,4.13912085,100
150,pg-hnsw,0.9740000000000001,3.710667,5.269243099999999,100
200,pg-hnsw,0.983,4.5319585,5.964647299999999,100
300,pg-hnsw,0.988,6.249333,8.40548925,100
400,pg-hnsw,0.99,7.8004165,10.366922899999999,100
600,pg-hnsw,0.995,11.677958499999999,15.7609434,100
800,pg-hnsw,0.9969999999999999,12.882708000000001,17.993820499999998,100
1000,pg-hnsw,0.9969999999999999,15.934479,21.0708521,100
